iter	F1	Logloss
0	0.657093245	0.6924541328
1	0.5943595746	0.6863920471
2	0.5923448676	0.6832714295
3	0.6136127957	0.6788317915
4	0.6197992852	0.678416226
5	0.6144827575	0.6769115874
6	0.6222115055	0.6766822849
7	0.628951378	0.6760554009
8	0.6230619792	0.6742451957
9	0.6143321603	0.6720049979
10	0.6189358137	0.6704991541
11	0.622142249	0.6695467716
12	0.6280510122	0.6682715363
13	0.6238623883	0.6661529787
14	0.6275339367	0.664572159
15	0.626681681	0.6636179032
16	0.6346279294	0.6616328225
17	0.6364048459	0.6615727018
18	0.6523958612	0.6562134133
19	0.6610595878	0.6526353097
20	0.6708626369	0.6498617306
21	0.6711439714	0.649662164
22	0.672462849	0.6482048177
23	0.6711067413	0.6481159284
24	0.6713840407	0.6472899909
25	0.6707112547	0.6467758357
26	0.674521812	0.6456968961
27	0.6722822562	0.6445110578
28	0.6771587361	0.6422013839
29	0.6826725999	0.6386726098
30	0.685379642	0.6371946912
31	0.6900304204	0.6347509234
32	0.6938610999	0.6333180572
33	0.6933917404	0.633237717
34	0.6936910162	0.6310809044
35	0.6936438321	0.6310807409
36	0.6956504761	0.6295394459
37	0.693964627	0.6291595788
38	0.694943042	0.6284778428
39	0.6984308944	0.6253436876
40	0.6979589713	0.6249872409
41	0.7010296844	0.6244695919
42	0.7016929988	0.6242756468
43	0.7038111716	0.6237566119
44	0.7093092552	0.6217233198
45	0.7051721473	0.620475395
46	0.7052769143	0.6196029154
47	0.7066231039	0.6193845668
48	0.7062883106	0.6193640808
49	0.7044322754	0.6180595554
50	0.7024358472	0.6178278721
51	0.7046619939	0.6169855561
52	0.7088311213	0.6163064684
53	0.7098946785	0.615463235
54	0.7098946785	0.6154632339
55	0.7121775792	0.6139886987
56	0.7123237949	0.6138445364
57	0.7123635458	0.6118152785
58	0.7143001767	0.611766863
59	0.7165604717	0.6104489287
60	0.7176141694	0.6098584301
61	0.7171958979	0.6089873028
62	0.7162375547	0.6086584192
63	0.7162375547	0.6086356414
64	0.7162375547	0.6086355864
65	0.7145929316	0.6084860882
66	0.7145242569	0.6060972478
67	0.717161472	0.605176765
68	0.7168658648	0.6051767311
69	0.7172600619	0.6050959171
70	0.717309367	0.6044020971
71	0.7185687413	0.6031970295
72	0.7172600619	0.6030279488
73	0.7224343075	0.6019947768
74	0.7240720217	0.6009802645
75	0.7269258139	0.6000786931
76	0.7267221204	0.5985850523
77	0.7255673094	0.5980808653
78	0.7279236241	0.5973368729
79	0.7282748114	0.5970258143
80	0.728224621	0.5970100668
81	0.727973773	0.5963741771
82	0.7280239287	0.5961762147
83	0.7307813649	0.5937654156
84	0.728124261	0.5918810603
85	0.7310832241	0.5910367541
86	0.7310832241	0.5910367538
87	0.7330283882	0.5910366396
88	0.7326761148	0.590039572
89	0.7415424257	0.5878124203
90	0.7406903445	0.5861570876
91	0.7404867835	0.5858493213
92	0.7432217345	0.5851915713
93	0.7426965358	0.5846044865
94	0.7470767335	0.582253976
95	0.7486196677	0.5806669067
96	0.7474872333	0.5801590431
97	0.7495970092	0.5788850998
98	0.7493910411	0.577233197
99	0.7552315185	0.5754335879
