iter	Passed	Remaining
0	70	7017
1	94	4610
2	112	3648
3	137	3295
4	143	2722
5	162	2538
6	173	2298
7	188	2170
8	199	2017
9	211	1901
10	220	1783
11	236	1736
12	251	1680
13	271	1668
14	281	1594
15	297	1561
16	311	1523
17	320	1459
18	332	1417
19	347	1388
20	363	1367
21	374	1328
22	385	1289
23	392	1244
24	406	1220
25	421	1198
26	433	1172
27	446	1147
28	460	1128
29	473	1104
30	482	1074
31	492	1046
32	506	1027
33	515	1001
34	525	976
35	530	943
36	541	922
37	554	905
38	571	893
39	582	874
40	598	860
41	627	867
42	640	849
43	653	831
44	670	820
45	690	810
46	703	793
47	717	777
48	728	758
49	748	748
50	761	731
51	781	721
52	794	704
53	819	697
54	827	677
55	843	662
56	854	644
57	865	626
58	873	607
59	892	594
60	909	581
61	928	569
62	946	555
63	958	539
64	964	519
65	981	505
66	998	491
67	1010	475
68	1015	456
69	1025	439
70	1039	424
71	1055	410
72	1067	394
73	1084	380
74	1101	367
75	1117	352
76	1131	338
77	1144	322
78	1157	307
79	1174	293
80	1186	278
81	1199	263
82	1214	248
83	1226	233
84	1236	218
85	1247	203
86	1253	187
87	1262	172
88	1279	158
89	1288	143
90	1310	129
91	1329	115
92	1344	101
93	1362	86
94	1375	72
95	1388	57
96	1404	43
97	1416	28
98	1438	14
99	1454	0
